epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.49119,1.64027,5.34383,4.15768,1.73925,0.00571,0.53131,0.02924,0.01351,0.00571,0.53131,0.02248,0.01203,1.48903,1.93536,3.79825,1.57901,8.888e-05,8.888e-05,8.888e-05
2,13.9403,1.48508,3.4548,3.9611,1.63815,0.00625,0.51313,0.0566,0.03484,0.00625,0.51313,0.0566,0.03469,1.41331,1.4513,3.79893,1.52062,0.000187,0.000187,0.000187
3,18.163,1.26788,2.14712,3.63379,1.38658,0.00541,0.53131,0.12676,0.07956,0.00513,0.48131,0.12641,0.07916,1.46303,1.42146,3.81729,1.52578,0.000283141,0.000283141,0.000283141
4,23.1667,1.28022,2.1746,3.39861,1.41284,0.0055,0.61616,0.14991,0.0821,0.00575,0.63434,0.15155,0.08225,1.47283,1.3695,3.71369,1.52252,0.000377301,0.000377301,0.000377301
5,29.4492,1.30656,1.6003,3.07385,1.39307,0.00575,0.6303,0.1135,0.07039,0.00614,0.67071,0.11403,0.06813,1.51556,1.56154,3.60453,1.57453,0.000469482,0.000469482,0.000469482
6,32.027,1.29759,1.83616,2.97532,1.35343,0.00568,0.56212,0.08815,0.03898,0.00586,0.5803,0.089,0.04228,1.67669,2.26457,3.62181,1.62081,0.000559683,0.000559683,0.000559683
7,36.0636,1.41178,1.92695,2.93693,1.45969,0.72745,0.125,0.21105,0.12145,0.72745,0.125,0.21095,0.11726,2.02457,2.92328,3.39994,1.91786,0.000647904,0.000647904,0.000647904
8,40.1951,1.30388,1.73958,2.63338,1.39363,0.62754,0.26136,0.22547,0.13537,0.62754,0.26136,0.22443,0.12899,1.77845,1.80151,3.08511,1.77018,0.000734145,0.000734145,0.000734145
9,44.3701,1.35541,1.51303,2.72879,1.3817,0.61586,0.24318,0.24645,0.14611,0.61586,0.24318,0.2462,0.14374,1.65511,1.55329,3.0103,1.62552,0.000818407,0.000818407,0.000818407
10,48.4519,1.35414,1.5187,2.87242,1.36145,0.66097,0.25879,0.27,0.13698,0.66097,0.25879,0.27,0.13322,1.91734,1.43739,3.18905,1.87181,0.000900689,0.000900689,0.000900689
11,52.7788,1.28329,1.70086,2.81958,1.31216,0.73182,0.14318,0.23139,0.13478,0.73182,0.14318,0.23154,0.13312,1.86726,1.792,3.09508,1.84978,0.000980991,0.000980991,0.000980991
12,57.0434,1.33542,1.29118,2.63672,1.39026,0.88297,0.16818,0.28332,0.16512,0.88297,0.16818,0.28332,0.15732,1.79033,1.56879,2.96135,1.86351,0.000990012,0.000990012,0.000990012
13,61.0909,1.30398,1.35939,2.4758,1.38269,0.84488,0.16601,0.24235,0.15232,0.84488,0.16601,0.24185,0.15083,1.73076,1.17316,2.92945,1.83082,0.000979013,0.000979013,0.000979013
14,65.1596,1.31498,1.89947,2.43498,1.3256,0.64714,0.23053,0.25512,0.16112,0.64714,0.23053,0.2528,0.15854,1.74163,1.13275,2.96673,1.86731,0.000968014,0.000968014,0.000968014
15,69.2104,1.24202,1.35162,2.34639,1.28198,0.87673,0.16818,0.21888,0.14165,0.87673,0.16818,0.21848,0.1411,1.79758,1.26939,3.17869,1.87977,0.000957015,0.000957015,0.000957015
16,73.2787,1.26678,1.47371,2.70106,1.44588,0.4446,0.16818,0.21123,0.13768,0.4446,0.16818,0.21049,0.1358,1.79778,1.41535,3.26484,1.87583,0.000946016,0.000946016,0.000946016
17,77.1263,1.31719,1.54793,2.31965,1.33993,0.42839,0.16512,0.24028,0.14649,0.42839,0.16512,0.24199,0.14709,1.81157,1.52278,3.31352,1.80838,0.000935018,0.000935018,0.000935018
18,81.3259,1.29333,1.28922,2.50941,1.38847,0.36215,0.25909,0.29203,0.18332,0.24859,0.32086,0.29817,0.18725,1.78953,1.43797,3.10714,1.75314,0.000924019,0.000924019,0.000924019
19,85.515,1.25608,1.33703,2.24196,1.28568,0.84836,0.30909,0.33012,0.19282,0.84836,0.30909,0.3301,0.17731,1.8546,1.34066,3.2852,1.94917,0.00091302,0.00091302,0.00091302
20,89.7076,1.21966,1.60484,2.20683,1.28943,0.42021,0.30879,0.28742,0.15997,0.42021,0.30879,0.28755,0.1567,1.85172,1.3043,3.16313,1.93438,0.000902021,0.000902021,0.000902021
21,93.8008,1.25812,1.30001,2.3203,1.36455,0.42092,0.22955,0.23775,0.15393,0.42092,0.22955,0.24015,0.14745,1.88769,1.30363,3.03978,1.858,0.000891022,0.000891022,0.000891022
22,97.9269,1.25784,1.44804,2.31698,1.24002,0.17485,0.30671,0.252,0.16346,0.187,0.31848,0.25598,0.1637,1.83159,1.25385,2.82404,1.83351,0.000880023,0.000880023,0.000880023
23,101.942,1.32426,1.4256,2.28898,1.3319,0.30182,0.38388,0.30147,0.18026,0.31591,0.39273,0.30552,0.18529,1.82591,1.44224,2.65261,1.88129,0.000869024,0.000869024,0.000869024
24,106.021,1.16357,1.31193,2.15049,1.29709,0.73688,0.28065,0.36057,0.22861,0.73688,0.28065,0.36346,0.23226,1.81362,1.53003,2.52325,1.86417,0.000858025,0.000858025,0.000858025
25,110.095,1.0874,1.04228,1.99586,1.23833,0.74847,0.37338,0.4158,0.25946,0.74847,0.37338,0.41691,0.26584,1.92212,1.92161,2.53984,1.9268,0.000847026,0.000847026,0.000847026
26,114.137,1.13713,1.13657,1.98291,1.23499,0.73337,0.41089,0.44798,0.26816,0.73337,0.41089,0.44833,0.26997,2.00398,2.13895,2.62592,1.98839,0.000836027,0.000836027,0.000836027
27,118.419,1.06329,1.25255,2.01597,1.21571,0.70171,0.40974,0.40176,0.25656,0.70171,0.40974,0.40248,0.25885,2.00882,3.72564,2.64223,1.88085,0.000825029,0.000825029,0.000825029
28,122.432,1.08957,1.07882,1.94624,1.22928,0.66644,0.40974,0.39171,0.24933,0.66644,0.40974,0.39346,0.24447,1.95753,4.20951,2.60784,1.70171,0.00081403,0.00081403,0.00081403
29,126.353,1.0611,1.10026,1.8107,1.15725,0.68194,0.45868,0.43473,0.27658,0.68194,0.45868,0.43434,0.28554,1.78527,3.6178,2.56474,1.56306,0.000803031,0.000803031,0.000803031
30,130.446,1.14785,1.03403,1.83702,1.20736,0.8004,0.4202,0.43997,0.26822,0.8004,0.4202,0.43935,0.28659,1.77342,2.94504,2.71594,1.57661,0.000792032,0.000792032,0.000792032
31,134.503,1.02068,1.21942,1.79842,1.19047,0.79771,0.4202,0.45762,0.27726,0.79771,0.4202,0.46036,0.28668,1.67624,1.69049,2.72043,1.54949,0.000781033,0.000781033,0.000781033
32,138.464,1.11623,1.21633,2.0614,1.22603,0.88632,0.36424,0.45201,0.27968,0.88632,0.36424,0.45249,0.2921,1.53648,1.34438,2.55459,1.53213,0.000770034,0.000770034,0.000770034
33,142.543,1.03149,1.10618,1.87677,1.24653,0.78809,0.37338,0.42705,0.27407,0.78809,0.37338,0.43505,0.28616,1.57371,1.26481,2.475,1.58516,0.000759035,0.000759035,0.000759035
34,146.623,1.12028,0.98506,1.75359,1.18089,0.35869,0.37513,0.37549,0.25258,0.35869,0.37513,0.37425,0.2499,1.62864,1.44052,2.60611,1.59648,0.000748036,0.000748036,0.000748036
35,150.799,1.07271,0.91271,1.8943,1.21605,0.35098,0.39948,0.39311,0.25499,0.35098,0.39948,0.37201,0.24383,1.74358,1.70796,2.62641,1.64808,0.000737037,0.000737037,0.000737037
36,154.799,0.99873,1.09807,1.73085,1.12811,0.44953,0.47511,0.45473,0.32017,0.44953,0.47511,0.45293,0.31691,1.69222,1.50206,2.44221,1.68534,0.000726038,0.000726038,0.000726038
37,159.007,1.16088,1.34552,2.06318,1.22507,0.57561,0.48197,0.50733,0.35873,0.57561,0.48197,0.50555,0.34846,1.54686,1.37471,2.53217,1.63556,0.00071504,0.00071504,0.00071504
38,163.026,1.09143,1.20757,1.67443,1.21651,0.78457,0.4702,0.49936,0.36084,0.78457,0.4702,0.49617,0.351,1.48446,1.3315,2.46057,1.60199,0.000704041,0.000704041,0.000704041
39,167.193,1.10136,1.08561,1.69881,1.15233,0.7925,0.46185,0.50035,0.36835,0.7925,0.46185,0.49673,0.35565,1.49161,1.27745,2.59795,1.50933,0.000693042,0.000693042,0.000693042
40,171.292,1.11753,1.06838,1.68199,1.21929,0.76449,0.45202,0.50798,0.38215,0.76449,0.45202,0.50256,0.37498,1.4524,1.32437,2.36263,1.48582,0.000682043,0.000682043,0.000682043
41,175.337,1.03022,1.07909,1.72869,1.2095,0.86438,0.42002,0.5091,0.38799,0.86438,0.42002,0.50398,0.37687,1.50975,1.4559,2.26486,1.55566,0.000671044,0.000671044,0.000671044
42,179.368,0.98885,0.88825,1.70449,1.20818,0.66609,0.51855,0.50085,0.37454,0.66609,0.51855,0.49736,0.36061,1.53732,1.62128,2.22805,1.58642,0.000660045,0.000660045,0.000660045
43,183.277,0.97379,0.9622,1.87384,1.2023,0.57816,0.51338,0.5161,0.37759,0.57816,0.51338,0.51243,0.35508,1.58344,1.59903,2.2596,1.59048,0.000649046,0.000649046,0.000649046
44,187.294,1.00437,1.11867,1.52382,1.1315,0.65174,0.47824,0.55896,0.39509,0.65174,0.47824,0.55489,0.36559,1.64652,1.44484,2.19742,1.6351,0.000638047,0.000638047,0.000638047
45,191.27,1.01347,0.90312,1.64045,1.16564,0.76009,0.51445,0.56762,0.38998,0.76009,0.51445,0.56379,0.36291,1.64432,1.33385,2.08909,1.65287,0.000627048,0.000627048,0.000627048
46,195.219,0.98025,0.96511,1.45103,1.1537,0.68022,0.49038,0.55656,0.39472,0.68022,0.49038,0.55551,0.38164,1.62218,1.20535,2.2134,1.55412,0.000616049,0.000616049,0.000616049
47,199.182,1.02357,1.06219,1.47865,1.1568,0.58757,0.47317,0.53092,0.36652,0.58757,0.47317,0.52864,0.36153,1.59394,1.11801,2.38353,1.50427,0.000605051,0.000605051,0.000605051
48,203.236,1.03017,1.13065,1.68031,1.19969,0.49108,0.49666,0.51395,0.35426,0.49108,0.49666,0.5106,0.35081,1.5041,1.07996,2.40429,1.46497,0.000594052,0.000594052,0.000594052
49,207.269,0.98933,1.08471,1.59607,1.15527,0.49961,0.53339,0.51212,0.34844,0.49961,0.53339,0.50961,0.34389,1.50108,1.10689,2.4045,1.43326,0.000583053,0.000583053,0.000583053
50,211.204,0.9861,0.87048,1.45031,1.12934,0.55787,0.46819,0.51579,0.35283,0.55787,0.46819,0.51078,0.35069,1.47401,1.17532,2.25562,1.44079,0.000572054,0.000572054,0.000572054
51,215.226,1.0666,1.13708,1.76895,1.19913,0.87516,0.3644,0.49429,0.34223,0.87516,0.3644,0.49197,0.33932,1.55497,1.35289,2.28729,1.51557,0.000561055,0.000561055,0.000561055
52,219.257,0.99919,0.89316,1.41227,1.17219,0.52657,0.36785,0.46676,0.33378,0.52657,0.36785,0.46589,0.31665,1.5513,1.45683,2.39192,1.52192,0.000550056,0.000550056,0.000550056
53,223.191,0.99838,1.05067,1.49078,1.19425,0.56576,0.38077,0.49224,0.35918,0.56576,0.38077,0.49015,0.34885,1.49546,1.48585,2.34574,1.4926,0.000539057,0.000539057,0.000539057
54,227.19,0.94535,0.62134,1.50849,1.20197,0.78748,0.40738,0.54042,0.39045,0.78748,0.40738,0.53806,0.37783,1.45829,1.44456,2.30794,1.47002,0.000528058,0.000528058,0.000528058
55,231.202,1.02794,1.25437,1.4764,1.17258,0.88813,0.43815,0.54942,0.40152,0.88813,0.43815,0.54564,0.38797,1.42426,1.45065,2.20847,1.43496,0.000517059,0.000517059,0.000517059
56,235.153,1.00001,1.06897,1.43728,1.15971,0.82566,0.52429,0.5663,0.41424,0.82566,0.52429,0.56578,0.3828,1.43561,1.47526,2.19132,1.46282,0.00050606,0.00050606,0.00050606
57,239.094,0.94039,0.96082,1.5452,1.13798,0.88795,0.54996,0.57201,0.42957,0.88795,0.54996,0.5687,0.39332,1.5543,1.53585,2.29114,1.52948,0.000495062,0.000495062,0.000495062
58,242.958,0.96175,0.90475,1.3626,1.09549,0.85501,0.53108,0.55755,0.41737,0.85501,0.53108,0.55449,0.39774,1.55747,1.60295,2.18398,1.57747,0.000484063,0.000484063,0.000484063
59,246.962,0.90273,0.88202,1.29052,1.07825,0.61619,0.5548,0.57373,0.42278,0.61619,0.5548,0.56593,0.40518,1.50367,1.79776,2.0684,1.6047,0.000473064,0.000473064,0.000473064
60,250.85,0.93007,0.84259,1.36909,1.14002,0.67452,0.54091,0.57717,0.42952,0.67452,0.54091,0.57003,0.40365,1.47865,1.88961,2.10133,1.62223,0.000462065,0.000462065,0.000462065
61,254.997,0.92188,0.79401,1.23571,1.06746,0.72638,0.54451,0.57607,0.43212,0.72638,0.54451,0.56632,0.41262,1.46729,2.14411,2.10777,1.60373,0.000451066,0.000451066,0.000451066
62,259.982,0.95987,1.13713,1.37584,1.07249,0.63524,0.5482,0.55897,0.41687,0.63524,0.5482,0.55123,0.40056,1.4246,2.34048,2.09574,1.54181,0.000440067,0.000440067,0.000440067
63,264.116,0.86451,0.84921,1.39485,1.04756,0.5955,0.55989,0.54163,0.40391,0.5955,0.55989,0.53302,0.39375,1.48201,2.5303,2.11577,1.56256,0.000429068,0.000429068,0.000429068
64,268.258,0.81437,0.77993,1.14758,1.04659,0.49945,0.53551,0.53938,0.40531,0.49945,0.53551,0.53104,0.39919,1.53072,2.52839,2.20203,1.57522,0.000418069,0.000418069,0.000418069
65,272.227,0.8684,0.95926,1.1346,1.02672,0.51111,0.50102,0.53793,0.41139,0.51111,0.50102,0.52862,0.39665,1.47624,2.62022,2.10807,1.59045,0.00040707,0.00040707,0.00040707
66,276.302,0.86435,1.15215,1.30321,1.04526,0.54648,0.49607,0.54007,0.40985,0.54648,0.49607,0.53341,0.39715,1.44107,2.69145,2.1025,1.58133,0.000396071,0.000396071,0.000396071
67,280.464,0.82176,0.78441,1.18256,1.04683,0.58047,0.5054,0.53621,0.41273,0.58047,0.5054,0.52786,0.40995,1.44704,2.61733,2.14621,1.55229,0.000385073,0.000385073,0.000385073
68,284.483,0.87116,1.21975,1.16672,1.04594,0.66983,0.4626,0.54651,0.42622,0.66983,0.4626,0.53452,0.41881,1.43391,2.34768,2.20619,1.5268,0.000374074,0.000374074,0.000374074
69,288.54,0.85284,0.96947,1.18164,1.02081,0.6903,0.52357,0.56884,0.44232,0.6903,0.52357,0.55707,0.43531,1.43694,2.19383,2.11513,1.48459,0.000363075,0.000363075,0.000363075
70,292.606,0.82074,0.65958,1.18736,1.0695,0.55573,0.55955,0.55468,0.4357,0.73379,0.44273,0.54296,0.4257,1.42619,2.07288,2.1232,1.43738,0.000352076,0.000352076,0.000352076
71,296.6,0.88029,0.8156,1.15429,1.04889,0.56648,0.58782,0.55544,0.42815,0.57008,0.57605,0.54515,0.4265,1.4213,1.94815,2.13413,1.42909,0.000341077,0.000341077,0.000341077
72,300.639,0.85958,1.02659,1.25602,1.0423,0.67912,0.56464,0.56816,0.4342,0.67639,0.53695,0.55747,0.43056,1.46816,1.79372,2.19232,1.47026,0.000330078,0.000330078,0.000330078
73,304.617,0.79206,0.91366,1.09457,1.05392,0.72595,0.52359,0.57169,0.42466,0.69931,0.51019,0.55921,0.43141,1.48702,1.70619,2.20346,1.49912,0.000319079,0.000319079,0.000319079
74,308.646,0.78214,0.85048,1.15825,1.03431,0.68661,0.54978,0.58367,0.42195,0.71869,0.50872,0.57263,0.4271,1.52537,1.61698,2.20952,1.51417,0.00030808,0.00030808,0.00030808
75,312.691,0.81966,1.00304,1.2897,1.06878,0.754,0.57605,0.58953,0.44051,0.72789,0.56427,0.57945,0.4343,1.51536,1.47483,2.13566,1.51169,0.000297081,0.000297081,0.000297081
76,316.71,0.81957,0.80901,1.18649,1.05183,0.75759,0.57809,0.60101,0.44529,0.76521,0.56646,0.58724,0.42417,1.4895,1.36634,2.11455,1.47874,0.000286083,0.000286083,0.000286083
77,320.92,0.7418,0.68206,1.16256,1.04015,0.78818,0.55858,0.60068,0.43834,0.78818,0.55858,0.59275,0.42798,1.47578,1.29162,2.13586,1.46479,0.000275084,0.000275084,0.000275084
78,324.968,0.76316,0.89483,1.06987,1.03625,0.78292,0.56076,0.60308,0.42723,0.78292,0.56076,0.58843,0.42235,1.51582,1.26597,2.18364,1.46877,0.000264085,0.000264085,0.000264085
79,328.95,0.80373,0.74482,1.11335,1.04375,0.75415,0.57717,0.60327,0.42414,0.74149,0.56326,0.58689,0.41809,1.53286,1.19031,2.20825,1.48852,0.000253086,0.000253086,0.000253086
80,332.816,0.8437,0.74664,1.14257,1.05094,0.72393,0.58058,0.60647,0.42623,0.71155,0.5623,0.58739,0.42014,1.57805,1.1327,2.22458,1.52391,0.000242087,0.000242087,0.000242087
81,336.841,0.77996,0.95413,1.11767,1.02354,0.75346,0.58049,0.61255,0.42691,0.71452,0.55151,0.58984,0.4247,1.59713,1.14664,2.22526,1.54092,0.000231088,0.000231088,0.000231088
82,340.662,0.77685,0.84269,1.12589,1.00366,0.75915,0.5931,0.61583,0.42524,0.72451,0.53889,0.59832,0.4164,1.59248,1.11128,2.22849,1.54651,0.000220089,0.000220089,0.000220089
83,344.692,0.77789,0.79879,1.05018,0.99918,0.73601,0.59768,0.61619,0.41754,0.70106,0.58859,0.60284,0.40553,1.58542,1.1347,2.219,1.5543,0.00020909,0.00020909,0.00020909
84,348.627,0.78791,0.72741,1.04946,1.0567,0.74453,0.59309,0.6158,0.42607,0.70636,0.58504,0.60309,0.42114,1.59203,1.18056,2.20937,1.54189,0.000198091,0.000198091,0.000198091
85,352.526,0.74926,0.87378,1.15282,0.99428,0.73757,0.58273,0.61246,0.43209,0.70094,0.57122,0.60172,0.42508,1.57914,1.21464,2.21284,1.53486,0.000187092,0.000187092,0.000187092
86,356.483,0.74375,0.9778,1.08627,1.0188,0.75596,0.58415,0.61282,0.43031,0.74329,0.56525,0.596,0.4209,1.60801,1.21035,2.23035,1.5521,0.000176094,0.000176094,0.000176094
87,360.572,0.75441,1.10247,1.15149,1.00187,0.7794,0.58064,0.61518,0.42958,0.73826,0.56944,0.6005,0.41072,1.6143,1.21496,2.21159,1.57209,0.000165095,0.000165095,0.000165095
88,364.592,0.7898,0.92947,1.00565,0.99479,0.72658,0.59166,0.60832,0.42901,0.69589,0.58005,0.59462,0.4116,1.61629,1.20679,2.18625,1.57789,0.000154096,0.000154096,0.000154096
89,368.587,0.8216,0.78373,1.18515,1.03678,0.75318,0.59002,0.60882,0.43772,0.72034,0.57826,0.59415,0.4161,1.59942,1.20221,2.14917,1.57486,0.000143097,0.000143097,0.000143097
90,372.525,0.70767,0.83297,1.00292,1.02267,0.66405,0.59828,0.58935,0.42545,0.63049,0.58651,0.57363,0.41416,1.61553,1.16391,2.11259,1.5983,0.000132098,0.000132098,0.000132098
91,413.909,0.66071,0.62457,1.22174,0.95685,0.66207,0.57588,0.59145,0.43462,0.61577,0.58009,0.57757,0.43,1.59879,1.15443,2.05474,1.53978,0.000121099,0.000121099,0.000121099
92,417.862,0.75088,0.88994,1.28809,1.00194,0.66195,0.58651,0.59157,0.43853,0.75099,0.51985,0.57789,0.43566,1.5827,1.1358,2.04383,1.50185,0.0001101,0.0001101,0.0001101
93,421.863,0.72994,0.87414,1.21486,1.03888,0.68819,0.58651,0.59333,0.44035,0.63993,0.57475,0.57964,0.43273,1.5457,1.12963,2.00912,1.48365,9.91012e-05,9.91012e-05,9.91012e-05
94,425.749,0.64736,0.66529,1.40171,1.00942,0.65735,0.58651,0.59438,0.43929,0.74908,0.52146,0.58003,0.43181,1.53785,1.13321,2.02713,1.45905,8.81023e-05,8.81023e-05,8.81023e-05
95,429.804,0.64012,0.87537,1.24037,0.99127,0.76767,0.57474,0.61123,0.45098,0.71816,0.56297,0.60051,0.44501,1.52212,1.14467,2.03153,1.44052,7.71034e-05,7.71034e-05,7.71034e-05
96,433.839,0.74965,0.81087,1.34194,1.08028,0.75678,0.57768,0.61136,0.44668,0.7109,0.56642,0.60102,0.44251,1.50655,1.16512,2.02524,1.43191,6.61045e-05,6.61045e-05,6.61045e-05
97,437.654,0.70172,0.86073,1.427,1.01189,0.74411,0.58463,0.61113,0.45027,0.70364,0.57287,0.60135,0.44591,1.50437,1.20233,2.03305,1.43655,5.51056e-05,5.51056e-05,5.51056e-05
98,441.542,0.73901,0.83946,1.25855,1.04747,0.73599,0.53651,0.59281,0.44241,0.63563,0.60469,0.58326,0.42849,1.50203,1.20475,2.03681,1.43156,4.41067e-05,4.41067e-05,4.41067e-05
99,445.499,0.61329,0.75622,1.16828,0.95442,0.74133,0.58088,0.61126,0.45175,0.70422,0.56977,0.60193,0.43717,1.49052,1.19099,2.02363,1.41533,3.31078e-05,3.31078e-05,3.31078e-05
100,449.429,0.65826,0.95443,1.20841,0.93828,0.74485,0.58514,0.61285,0.45548,0.70668,0.574,0.60229,0.43718,1.48918,1.19584,2.00718,1.42002,2.21089e-05,2.21089e-05,2.21089e-05
